epoch, FPS, Calls, Triangles, Points, Lines, Geometries, Textures, Objects, Meshes, Instanced meshes, commit sha
1779400533745, 38.74, 526, 5454540, 1000, 0, 919, 43, 965, 704, 350, 
1779403442680, 38.99, 526, 5454540, 1000, 0, 919, 43, 965, 704, 350, 
1779405750187, 38.79, 526, 5454540, 1000, 0, 919, 43, 965, 704, 350, 
1779490579396, 75.23, 526, 5454540, 1000, 0, 415, 43, 965, 704, 350, 
1779491745431, 39.42, 526, 5454540, 1000, 0, 919, 43, 965, 704, 350, 
1779743912401, 33.67, 526, 5454540, 1000, 0, 922, 43, 965, 704, 350, 
1779813693672, 77.66, 526, 5454540, 1000, 0, 418, 43, 965, 704, 350, 
1779818766544, 78.34, 526, 5454540, 1000, 0, 415, 43, 965, 704, 350, 
1779910830700, 105.75, 234, 5454540, 1000, 0, 690, 36, 681, 412, 55, 
1779921992393, 159.73, 234, 5454540, 1000, 0, 690, 36, 681, 412, 55, 
1779925065078, 139.14, 234, 5454540, 1000, 0, 690, 36, 681, 412, 55, 
1779926489621, 156.37, 234, 5454540, 1000, 0, 190, 36, 681, 412, 55, 
1779932165867, 162.27, 234, 5454540, 1000, 0, 188, 36, 681, 412, 55, 
1779933457759, 160.29, 234, 5454540, 1000, 0, 690, 36, 681, 412, 55, 
1779980023237, 160.33, 234, 5454540, 1000, 0, 191, 36, 681, 412, 55, 
1779984151128, 140.37, 234, 5454540, 1000, 0, 188, 36, 681, 412, 55, 
1779995181578, 154.88, 234, 5454540, 1000, 0, 690, 36, 681, 412, 55, 
1780002355088, 158.90, 234, 5454540, 1000, 0, 188, 36, 681, 412, 55, 
1780083974064, 90.43, 234, 5454540, 1000, 0, 190, 36, 681, 412, 55, 8dd67c2f87
1780095044524, 93.43, 234, 5454540, 1000, 0, 690, 36, 681, 412, 55, efd0ea3f36
1780097149010, 254.64, 120, 4849064, 0, 0, 115, 25, 307, 166, 10, 3c7313f148
1780099654735, 397.40, 120, 4849064, 0, 0, 113, 25, 307, 166, 10, 8dd84948a1
1780169493799, 288.54, 120, 4849064, 0, 0, 1115, 26, 307, 166, 10, febde77936
1780422479690, 388.84, 120, 4849064, 0, 0, 115, 26, 307, 166, 10, 5961abf069
1780425280670, 304.42, 120, 4849064, 0, 0, 115, 26, 307, 166, 10, 1c1ac0c434
1781123798477, 364.45, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, 9bd0d5fccf
1781638645790, 279.64, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, 3f10a50822
1781641852201, 285.51, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, 9dbe363c3f
1781651077346, 379.20, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, c9ef0ddb1e
1781654999189, 290.56, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, 76ee0fcb19
1781890452106, 282.21, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, 6cafaf13fd
1782413953348, 390.65, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, 3bbc4aa295
1782505199494, 385.11, 122, 4853068, 0, 0, 1115, 26, 308, 167, 10, 07ab9870f1
1785432215205, 167.70, 177, 4493654, 0, 12, 1121, 31, 406, 172, 10, 97160f8cf3
1785434742437, 162.74, 177, 4493654, 0, 12, 1121, 31, 406, 172, 10, 373d756b42
